"Contact", "Col: 2"
"Hari Kumar", "22.21"
"Hari Kumar", "27.33"
"Hari Kumar", "288.43"
"Hari Kumar", "34.86"
"Hari Kumar", "4.2"
"Hari Kumar", "77.63"
"Helen Bennett", "0.9"
"Helen Bennett", "154.72"
"Helen Bennett", "16.37"
"Helen Bennett", "2.33"
"Helen Bennett", "23.73"
"Helen Bennett", "3.43"
"Helen Bennett", "4.73"
"Helen Bennett", "41.76"
"Helen Bennett", "54.15"
"Helen Bennett", "61.53"
"Helvetius Nagy", "25.41"
"Helvetius Nagy", "37.6"
"Helvetius Nagy", "7"
"Henriette Pfalzheim", "120.97"
"Henriette Pfalzheim", "145.63"
"Henriette Pfalzheim", "157.55"
"Henriette Pfalzheim", "4.99"
"Henriette Pfalzheim", "43.3"
"Henriette Pfalzheim", "55.09"
"Henriette Pfalzheim", "71.49"
"Henriette Pfalzheim", "75.89"
"Henriette Pfalzheim", "91.48"
"Henriette Pfalzheim", "96.35"
"Horst Kloss", "1.12"
"Horst Kloss", "1.96"
"Horst Kloss", "1007.64"
"Horst Kloss", "17.55"
"Horst Kloss", "171.24"
"Horst Kloss", "183.17"
"Horst Kloss", "189.09"
"Horst Kloss", "194.67"
"Horst Kloss", "204.47"
"Horst Kloss", "212.98"
"Horst Kloss", "229.24"
"Horst Kloss", "249.06"
"Horst Kloss", "275.79"
"Horst Kloss", "297.18"
"Horst Kloss", "3.52"
"Horst Kloss", "31.89"
"Horst Kloss", "348.14"
"Horst Kloss", "364.15"
"Horst Kloss", "38.51"
"Horst Kloss", "398.36"
"Horst Kloss", "41.9"
"Horst Kloss", "42.7"
"Horst Kloss", "42.74"
"Horst Kloss", "46.69"
"Horst Kloss", "48.92"
"Horst Kloss", "76.07"
"Horst Kloss", "76.83"
"Horst Kloss", "810.05"
"Howard Snyder", "116.53"
"Howard Snyder", "14.01"
"Howard Snyder", "18.53"
"Howard Snyder", "18.84"
"Howard Snyder", "25.19"
"Howard Snyder", "3.35"
"Howard Snyder", "33.68"
"Howard Snyder", "4.42"
"Howard Snyder", "57.15"
"Howard Snyder", "719.78"
"Howard Snyder", "76.13"
"Isabel de Castro", "13.02"
"Isabel de Castro", "15.51"
"Isabel de Castro", "202.24"
"Isabel de Castro", "60.26"
"Isabel de Castro", "73.83"
"Jaime Yorres", "13.73"
"Jaime Yorres", "45.97"
"Jaime Yorres", "51.44"
"Jaime Yorres", "90.97"
"Janete Limeira", "12.76"
"Janete Limeira", "14.25"
"Janete Limeira", "160.55"
"Janete Limeira", "29.76"
"Janete Limeira", "38.06"
"Janete Limeira", "47.38"
"Janete Limeira", "50.97"
"Janete Limeira", "60.43"
"Janete Limeira", "64.33"
"Janete Limeira", "68.66"
"Janete Limeira", "85.8"
"Janine Labrune", "1.85"
"Janine Labrune", "24.69"
"Janine Labrune", "32.76"
"Janine Labrune", "4.4"
"Jean Fresnière", "15.66"
"Jean Fresnière", "154.68"
"Jean Fresnière", "188.99"
"Jean Fresnière", "20.39"
"Jean Fresnière", "370.61"
"Jean Fresnière", "379.13"
"Jean Fresnière", "4.07"
"Jean Fresnière", "44.77"
"Jean Fresnière", "52.84"
"Jean Fresnière", "57.75"
"Jean Fresnière", "7.13"
"Jean Fresnière", "7.15"
"Jean Fresnière", "91.05"
"John Steel", "11.92"
"John Steel", "7.48"
"Jonas Bergulfsen", "13.37"
"Jonas Bergulfsen", "38.64"
"Jonas Bergulfsen", "4.62"
"Jonas Bergulfsen", "53.05"
"Jonas Bergulfsen", "72.19"
"Jonas Bergulfsen", "93.63"
"Jose Pavarotti", "107.46"
"Jose Pavarotti", "116.13"
"Jose Pavarotti", "126.56"
"Jose Pavarotti", "14.62"
"Jose Pavarotti", "140.26"
"Jose Pavarotti", "141.16"
"Jose Pavarotti", "167.05"
"Jose Pavarotti", "200.24"
"Jose Pavarotti", "211.22"
"Jose Pavarotti", "214.27"
"Jose Pavarotti", "227.22"
"Jose Pavarotti", "23.1"
"Jose Pavarotti", "232.55"
"Jose Pavarotti", "24.49"
"Jose Pavarotti", "252.49"
"Jose Pavarotti", "30.09"
"Jose Pavarotti", "352.69"
"Jose Pavarotti", "367.63"
"Jose Pavarotti", "388.98"
"Jose Pavarotti", "400.81"
"Jose Pavarotti", "48.77"
"Jose Pavarotti", "487.57"
"Jose Pavarotti", "52.41"
"Jose Pavarotti", "544.08"
"Jose Pavarotti", "65.1"
"Jose Pavarotti", "657.54"
"Jose Pavarotti", "74.58"
"Jose Pavarotti", "8.19"
"Jose Pavarotti", "830.75"
"Jose Pavarotti", "86.53"
"Jose Pavarotti", "89.16"
"José Pedro Freyre", "107.83"
"José Pedro Freyre", "175.32"
"José Pedro Freyre", "19.58"
"José Pedro Freyre", "23.39"
"José Pedro Freyre", "3.2"
"José Pedro Freyre", "38.19"
"José Pedro Freyre", "4.32"
"José Pedro Freyre", "51.87"
"José Pedro Freyre", "59.11"
"José Pedro Freyre", "85.46"
"Jytte Petersen", "18.44"
"Jytte Petersen", "24.39"
"Jytte Petersen", "257.26"
"Jytte Petersen", "26.78"
"Jytte Petersen", "41.89"
"Jytte Petersen", "70.29"
"Jytte Petersen", "9.8"
"Karin Josephs", "1.43"
"Karin Josephs", "11.61"
"Karin Josephs", "14.68"
"Karin Josephs", "27.79"
"Karin Josephs", "62.22"
"Karin Josephs", "8.24"
"Karl Jablonski", "102.55"
"Karl Jablonski", "139.34"
"Karl Jablonski", "14.93"
"Karl Jablonski", "15.28"
"Karl Jablonski", "16.34"
"Karl Jablonski", "162.95"
"Karl Jablonski", "21.72"
"Karl Jablonski", "23.29"
"Karl Jablonski", "4.56"
"Karl Jablonski", "44.72"
"Karl Jablonski", "59.13"
"Karl Jablonski", "60.18"
"Karl Jablonski", "606.19"
"Karl Jablonski", "81.88"
"Laurence Lebihan", "10.19"
"Laurence Lebihan", "11.06"
"Laurence Lebihan", "112.27"
"Laurence Lebihan", "113.15"
"Laurence Lebihan", "134.64"
"Laurence Lebihan", "16.71"
"Laurence Lebihan", "16.97"
"Laurence Lebihan", "166.31"
"Laurence Lebihan", "19.77"
"Laurence Lebihan", "20.12"
"Laurence Lebihan", "350.64"
"Laurence Lebihan", "38.28"
"Laurence Lebihan", "60.42"
"Laurence Lebihan", "63.2"
"Laurence Lebihan", "63.54"
"Laurence Lebihan", "64.56"
"Laurence Lebihan", "96.04"
"Lino Rodriguez", "1.27"
"Lino Rodriguez", "1.3"
"Lino Rodriguez", "16.96"
"Lino Rodriguez", "2.7"
"Lino Rodriguez", "7.46"
"Lino Rodriguez", "72.95"
"Lino Rodriguez", "87.03"
"Lino Rodriguez", "89"
"Liu Wong", "14.91"
"Liu Wong", "20.25"
"Liu Wong", "94.8"
"Liz Nixon", "17.52"
"Liz Nixon", "2.96"
"Liz Nixon", "237.34"
"Liz Nixon", "4.27"
"Lúcia Carvalho", "104.47"
"Lúcia Carvalho", "105.81"
"Lúcia Carvalho", "108.04"
"Lúcia Carvalho", "110.87"
"Lúcia Carvalho", "191.27"
"Lúcia Carvalho", "201.29"
"Lúcia Carvalho", "21.19"
"Lúcia Carvalho", "33.05"
"Lúcia Carvalho", "4.78"
"Lúcia Carvalho", "58.33"
"Lúcia Carvalho", "71.07"
"Lúcia Carvalho", "81.75"
"Lúcia Carvalho", "890.78"
"Manuel Pereira", "1.51"
"Manuel Pereira", "66.29"
"Maria Anders", "1.21"
"Maria Anders", "23.94"
"Maria Anders", "29.46"
"Maria Anders", "40.42"
"Maria Anders", "61.02"
"Maria Anders", "69.53"
"Maria Larsson", "1.23"
"Maria Larsson", "1.26"
"Maria Larsson", "152.3"
"Maria Larsson", "16.27"
"Maria Larsson", "17.92"
"Maria Larsson", "188.04"
"Maria Larsson", "197.3"
"Maria Larsson", "208.5"
"Maria Larsson", "242.21"
"Maria Larsson", "3.26"
"Maria Larsson", "3.67"
"Maria Larsson", "328.74"
"Maria Larsson", "44.15"
"Maria Larsson", "48.2"
"Maria Larsson", "5.44"
"Maria Larsson", "59.41"
"Maria Larsson", "63.36"
"Maria Larsson", "8.81"
"Maria Larsson", "88.01"
"Mario Pontes", "12.41"
"Mario Pontes", "124.98"
"Mario Pontes", "15.8"
"Mario Pontes", "193.37"
"Mario Pontes", "2.27"
"Mario Pontes", "36.71"
"Mario Pontes", "4.99"
"Mario Pontes", "5.32"
"Mario Pontes", "58.17"
"Mario Pontes", "6.27"
"Mario Pontes", "62.74"
"Mario Pontes", "65.83"
"Mario Pontes", "67.26"
"Mario Pontes", "68.65"
"Martine Rancé", "1.35"
"Martine Rancé", "100.6"
"Martine Rancé", "11.26"
"Martine Rancé", "37.35"
"Martine Rancé", "487.38"
"Martín Sommer", "16.16"
"Martín Sommer", "77.92"
"Martín Sommer", "97.09"
"Mary Saveley", "130.94"
"Mary Saveley", "194.72"
"Mary Saveley", "22.11"
"Mary Saveley", "25.09"
"Mary Saveley", "4.81"
"Mary Saveley", "41.34"
"Mary Saveley", "49.19"
"Mary Saveley", "7.23"
"Mary Saveley", "8.56"
"Mary Saveley", "9.26"
"Matti Karttunen", "0.75"
"Matti Karttunen", "0.75"
"Matti Karttunen", "0.82"
"Matti Karttunen", "16.72"
"Matti Karttunen", "22.76"
"Matti Karttunen", "38.11"
"Matti Karttunen", "8.5"
"Maurizio Moroni", "0.48"
"Maurizio Moroni", "11.09"
"Maurizio Moroni", "13.95"
"Maurizio Moroni", "17.95"
"Maurizio Moroni", "22.95"
"Maurizio Moroni", "28.71"
"Maurizio Moroni", "29.93"
"Maurizio Moroni", "32.96"
"Maurizio Moroni", "4.41"
"Maurizio Moroni", "59.78"
"Maurizio Moroni", "7.45"
"Maurizio Moroni", "89.9"
"Michael Holz", "13.6"
"Michael Holz", "130.79"
"Michael Holz", "137.35"
"Michael Holz", "138.17"
"Michael Holz", "148.33"
"Michael Holz", "232.42"
"Michael Holz", "30.85"
"Michael Holz", "6.19"
"Michael Holz", "78.85"
"Michael Holz", "84.74"
"Miguel Angel Paolino", "13.84"
"Miguel Angel Paolino", "15.67"
"Miguel Angel Paolino", "18.56"
"Miguel Angel Paolino", "2.01"
"Miguel Angel Paolino", "21.18"
"Miguel Angel Paolino", "218.15"
"Miguel Angel Paolino", "3.51"
"Miguel Angel Paolino", "54.42"
"Miguel Angel Paolino", "63.79"
"Miguel Angel Paolino", "64.5"
"Palle Ibsen", "13.55"
"Palle Ibsen", "145.04"
"Palle Ibsen", "176.48"
"Palle Ibsen", "2.92"
"Palle Ibsen", "27.2"
"Palle Ibsen", "27.36"
"Palle Ibsen", "299.09"
"Palle Ibsen", "55.92"
"Palle Ibsen", "65.06"
"Palle Ibsen", "65.53"
"Palle Ibsen", "69.19"
"Paolo Accorti", "1.36"
"Paolo Accorti", "10.98"
"Paolo Accorti", "3.02"
"Paolo Accorti", "4.98"
"Paolo Accorti", "47.09"
"Paolo Accorti", "7.7"
"Pascale Cartrain", "0.17"
"Pascale Cartrain", "1.59"
"Pascale Cartrain", "14.78"
"Pascale Cartrain", "147.06"
"Pascale Cartrain", "15.55"
"Pascale Cartrain", "29.59"
"Pascale Cartrain", "424.3"
"Pascale Cartrain", "5.64"
"Pascale Cartrain", "51.3"
"Pascale Cartrain", "56.46"
"Pascale Cartrain", "6.27"
"Pascale Cartrain", "68.52"
"Patricia McKenna", "124.12"
"Patricia McKenna", "142.33"
"Patricia McKenna", "16.74"
"Patricia McKenna", "168.22"
"Patricia McKenna", "17.55"
"Patricia McKenna", "220.31"
"Patricia McKenna", "296.43"
"Patricia McKenna", "33.97"
"Patricia McKenna", "35.03"
"Patricia McKenna", "42.11"
"Patricia McKenna", "44.1"
"Patricia McKenna", "47.3"
"Patricia McKenna", "56.63"
"Patricia McKenna", "580.91"
"Patricia McKenna", "603.54"
"Patricia McKenna", "62.78"
"Patricia McKenna", "81.73"
"Patricia McKenna", "89.93"
"Patricia McKenna", "91.51"
"Patricio Simpson", "0.33"
"Patricio Simpson", "1.1"
"Patricio Simpson", "17.22"
"Patricio Simpson", "19.76"
"Patricio Simpson", "2.84"
"Patricio Simpson", "31.51"
"Paul Henriot", "1.15"
"Paul Henriot", "11.08"
"Paul Henriot", "32.38"
"Paul Henriot", "6.01"
"Paul Henriot", "7.79"
"Paula Parente", "0.14"
"Paula Parente", "1.66"
"Paula Parente", "13.41"
"Paula Parente", "13.72"
"Paula Parente", "13.97"
"Paula Parente", "4.87"
"Paula Parente", "44.12"
"Paula Parente", "47.59"
"Paula Parente", "55.23"
"Paula Wilson", "12.51"
"Paula Wilson", "13.75"
"Paula Wilson", "142.08"
"Paula Wilson", "147.26"
"Paula Wilson", "150.15"
"Paula Wilson", "174.05"
"Paula Wilson", "18.66"
"Paula Wilson", "280.61"
"Paula Wilson", "37.52"
"Paula Wilson", "44.42"
"Paula Wilson", "48.29"
"Paula Wilson", "55.12"
"Paula Wilson", "58.98"
"Paula Wilson", "61.14"
"Paula Wilson", "708.95"
"Paula Wilson", "74.16"
"Paula Wilson", "8.53"
"Paula Wilson", "98.03"
"Pedro Afonso", "0.21"
"Pedro Afonso", "11.93"
"Pedro Afonso", "29.99"
"Pedro Afonso", "65.99"
"Pedro Afonso", "79.7"
"Peter Franken", "108.26"
"Peter Franken", "135.35"
"Peter Franken", "16.85"
"Peter Franken", "203.48"
"Peter Franken", "208.58"
"Peter Franken", "242.95"
"Peter Franken", "31.85"
"Peter Franken", "33.93"
"Peter Franken", "36.65"
"Peter Franken", "4.93"
"Peter Franken", "54.83"
"Peter Franken", "59.25"
"Peter Franken", "76.1"
"Peter Franken", "93.25"
"Peter Franken", "97.18"
"Philip Cramer", "0.56"
"Philip Cramer", "10.95"
"Philip Cramer", "11.57"
"Philip Cramer", "170.88"
"Philip Cramer", "21.19"
"Philip Cramer", "29.59"
"Philip Cramer", "30.76"
"Philip Cramer", "306.07"
"Philip Cramer", "32.35"
"Philip Cramer", "4.88"
"Philip Cramer", "44.12"
"Philip Cramer", "64.86"
"Philip Cramer", "77.78"
"Philip Cramer", "8.12"
"Pirkko Koskitalo", "0.59"
"Pirkko Koskitalo", "1.15"
"Pirkko Koskitalo", "136.54"
"Pirkko Koskitalo", "149.49"
"Pirkko Koskitalo", "180.45"
"Pirkko Koskitalo", "19.97"
"Pirkko Koskitalo", "22.72"
"Pirkko Koskitalo", "25.73"
"Pirkko Koskitalo", "29.17"
"Pirkko Koskitalo", "3.77"
"Pirkko Koskitalo", "34.57"
"Pirkko Koskitalo", "58.59"
"Pirkko Koskitalo", "7.28"
"Pirkko Koskitalo", "73.16"
"Pirkko Koskitalo", "79.3"
"Renate Messner", "110.37"
"Renate Messner", "136"
"Renate Messner", "174.2"
"Renate Messner", "20.37"
"Renate Messner", "25.83"
"Renate Messner", "27.94"
"Renate Messner", "32.01"
"Renate Messner", "32.1"
"Renate Messner", "36.21"
"Renate Messner", "45.33"
"Renate Messner", "53.23"
"Renate Messner", "58.88"
"Renate Messner", "76.56"
"Renate Messner", "91.28"
"Renate Messner", "96.72"
"Rene Phillips", "135.63"
"Rene Phillips", "144.38"
"Rene Phillips", "170.97"
"Rene Phillips", "257.62"
"Rene Phillips", "26.61"
"Rene Phillips", "40.32"
"Rene Phillips", "45.53"
"Rene Phillips", "5.24"
"Rene Phillips", "73.02"
"Rene Phillips", "84.21"
"Rita Müller", "0.78"
"Rita Müller", "105.65"
"Rita Müller", "20.6"
"Rita Müller", "23.55"
"Rita Müller", "36.71"
"Rita Müller", "40.26"
"Rita Müller", "41.38"
"Rita Müller", "45.08"
"Rita Müller", "47.22"
"Rita Müller", "71.64"
"Roland Mendel", "100.22"
"Roland Mendel", "101.95"
"Roland Mendel", "11.19"
"Roland Mendel", "117.61"
"Roland Mendel", "126.38"
"Roland Mendel", "126.66"
"Roland Mendel", "140.51"
"Roland Mendel", "145.45"
"Roland Mendel", "146.06"
"Roland Mendel", "162.33"
"Roland Mendel", "162.75"
"Roland Mendel", "258.64"
"Roland Mendel", "26.06"
"Roland Mendel", "272.47"
"Roland Mendel", "351.53"
"Roland Mendel", "353.07"
"Roland Mendel", "411.88"
"Roland Mendel", "458.78"
"Roland Mendel", "47.94"
"Roland Mendel", "477.9"
"Roland Mendel", "67.88"
"Roland Mendel", "73.79"
"Roland Mendel", "74.6"
"Roland Mendel", "754.26"
"Roland Mendel", "78.09"
"Roland Mendel", "789.95"
"Roland Mendel", "79.46"
"Roland Mendel", "94.77"
"Roland Mendel", "96.43"
"Roland Mendel", "96.78"
"Sergio Gutiérrez", "22.57"
"Sergio Gutiérrez", "3.17"
"Sergio Gutiérrez", "38.82"
"Sergio Gutiérrez", "63.77"
"Sergio Gutiérrez", "90.85"
"Simon Crowther", "1.39"
"Simon Crowther", "32.07"
"Simon Crowther", "4.13"
"Sven Ottlieb", "149.47"
"Sven Ottlieb", "30.54"
"Sven Ottlieb", "33.35"
"Sven Ottlieb", "5.45"
"Sven Ottlieb", "7.98"
"Sven Ottlieb", "79.25"
"Thomas Hardy", "10.96"
"Thomas Hardy", "146.32"
"Thomas Hardy", "21.74"
"Thomas Hardy", "23.72"
"Thomas Hardy", "23.72"
"Thomas Hardy", "25.36"
"Thomas Hardy", "29.61"
"Thomas Hardy", "3.04"
"Thomas Hardy", "33.8"
"Thomas Hardy", "34.24"
"Thomas Hardy", "4.52"
"Thomas Hardy", "41.95"
"Thomas Hardy", "72.97"
"Victoria Ashworth", "12.36"
"Victoria Ashworth", "123.83"
"Victoria Ashworth", "2.17"
"Victoria Ashworth", "22.77"
"Victoria Ashworth", "29.6"
"Victoria Ashworth", "29.98"
"Victoria Ashworth", "3.26"
"Victoria Ashworth", "4.87"
"Victoria Ashworth", "45.59"
"Victoria Ashworth", "6.88"
"Yang Wang", "1.17"
"Yang Wang", "22.98"
"Yang Wang", "27.19"
"Yang Wang", "31.43"
"Yang Wang", "47.84"
"Yang Wang", "48.22"
"Yang Wang", "91.76"
"Yang Wang", "96.65"
"Yoshi Latimer", "0.2"
"Yoshi Latimer", "111.29"
"Yoshi Latimer", "20.12"
"Yoshi Latimer", "30.34"
"Yoshi Latimer", "45.13"
"Yoshi Tannamuri", "0.94"
"Yoshi Tannamuri", "4.33"
"Yoshi Tannamuri", "4.65"
"Yvonne Moncada", "1.27"
"Yvonne Moncada", "217.86"
"Yvonne Moncada", "29.83"
"Yvonne Moncada", "49.56"
"Yvonne Moncada", "8.12"
"Zbyszek Piestrzeniewicz", "12.04"
"Zbyszek Piestrzeniewicz", "20.31"
"Zbyszek Piestrzeniewicz", "23.79"
"Zbyszek Piestrzeniewicz", "26.29"
"Zbyszek Piestrzeniewicz", "3.94"
"Zbyszek Piestrzeniewicz", "8.72"
"Zbyszek Piestrzeniewicz", "80.65"
